confidence,Bsize,Berrors,Berrors_pct,BErrors(test),BErrors(test)_pct,Asize,AErrors,AErrors_pct,AErrors(test),AErrors(test)_pct,Aestimate_pct
0.05,63.3,23.5,15.4,7.7,45.6,9.6,48.5,31.9,6.7,39.6,40.2
0.10,63.3,23.5,15.4,7.7,45.6,16.9,41.8,27.5,6.6,39.0,39.8
0.15,63.3,23.5,15.4,7.7,45.6,16.9,41.8,27.5,6.6,39.0,39.5
0.2,63.3,23.5,15.4,7.7,45.6,17.5,41.4,27.2,6.4,37.9,39.2
0.25,63.3,23.5,15.4,7.7,45.6,21.7,38.4,25.3,7.0,41.4,38.8
0.3,63.3,23.5,15.4,7.7,45.6,24.5,36.9,24.3,7.2,42.6,38.4
0.35,63.3,23.5,15.4,7.7,45.6,26.6,36.0,23.7,7.4,43.8,38.0
0.4,63.3,23.5,15.4,7.7,45.6,32.3,33.8,22.2,7.2,42.6,37.4
0.45,63.3,23.5,15.4,7.7,45.6,34.9,32.9,21.6,7.2,42.6,36.7
0.5,63.3,23.5,15.4,7.7,45.6,37.3,31.9,21.0,7.3,43.2,36.1
